Layer,Analysed,NSP,%
MS-I,87,133,65.41353383458647
MS-I/J,108,126,85.71428571428571
MS-J,98,137,71.53284671532847
N1-I,5544,12558,44.14715719063545
N1-I/J,193,1392,13.864942528735632
N1-J,678,1157,58.599827139152985
N1-J/K,117,185,63.24324324324324
N1-K,606,714,84.87394957983193
