Layer,Taxon.mod,BONE_LENGTH
I,Cervid,47.43
I,Ursid,47.51
J,Bos.Bison,47.52
I,Bos.Bison,47.6
I,Cervid,47.65
I,Bos.Bison,47.72
I,Ursid,47.82
I,Bos.Bison,47.82
I,Ursid,47.87
I,Ursid,48.04
I,Bos.Bison,48.06
I,Bos.Bison,48.51
I,Ursid,48.69
K,Cervid,48.81
I,Bos.Bison,48.92
I,Bos.Bison,49.02
I,Bos.Bison,49.21
I,Cervid,49.27
J,Ursid,49.31
J,Cervid,49.41
I,Cervid,49.48
I,Bos.Bison,49.58
I,Bos.Bison,49.6
I,Cervid,49.75
I,Bos.Bison,49.8
K,Bos.Bison,49.93
I,Bos.Bison,49.96
I,Cervid,49.96
I,Ursid,50.06
I,Cervid,50.26
I,Ursid,50.28
I,Bos.Bison,50.41
I,Bos.Bison,50.43
I,Cervid,50.54
I,Cervid,50.88
I,Bos.Bison,50.91
I,Cervid,50.95
I,Bos.Bison,50.99
I,Cervid,50.99
I,Bos.Bison,51.04
I,Bos.Bison,51.09
I,Ursid,51.17
I,Cervid,51.32
I,Bos.Bison,51.35
I,Ursid,51.42
I,Cervid,51.5
I,Bos.Bison,51.55
I,Bos.Bison,51.6
I,Ursid,51.75
J,Cervid,51.78
I,Ursid,51.92
I,Cervid,51.97
I,Bos.Bison,52.27
I,Cervid,52.33
I,Bos.Bison,52.38
I,Cervid,52.41
I,Bos.Bison,52.57
I,Bos.Bison,52.65
I,Bos.Bison,52.66
I,Cervid,52.72
I,Cervid,52.74
I,Cervid,52.79
I,Cervid,52.8
I,Bos.Bison,52.83
I,Bos.Bison,52.97
I,Cervid,53
I,Ursid,53.13
I,Cervid,53.24
I,Bos.Bison,53.49
I,Cervid,53.55
I,Cervid,53.72
I,Bos.Bison,53.78
K,Bos.Bison,53.86
J,Ursid,53.89
I,Bos.Bison,53.94
I,Cervid,53.94
I,Cervid,54.03
I,Cervid,54.04
I,Ursid,54.05
I,Cervid,54.08
I,Cervid,54.24
I,Cervid,54.32
I,Ursid,54.43
I,Bos.Bison,54.46
I,Cervid,54.47
I,Bos.Bison,54.67
I,Cervid,54.99
I,Ursid,55
I,Cervid,55
I,Bos.Bison,55.02
I,Bos.Bison,55.11
I,Cervid,55.16
I,Cervid,55.22
I,Ursid,55.24
I,Cervid,55.36
I,Ursid,55.38
I,Cervid,55.4
I,Bos.Bison,55.54
I,Cervid,55.61
J,Cervid,55.81
I,Cervid,55.86
I,Bos.Bison,55.95
I,Bos.Bison,55.97
I,Bos.Bison,56.06
I,Cervid,56.09
I,Cervid,56.29
I,Ursid,56.39
I,Bos.Bison,56.48
I,Cervid,56.6
I,Bos.Bison,56.64
I,Cervid,56.65
I,Bos.Bison,56.67
I,Bos.Bison,56.71
I,Cervid,56.81
I,Cervid,56.85
I,Cervid,57.09
I,Cervid,57.13
I,Cervid,57.22
I,Cervid,57.26
I,Cervid,57.49
I,Cervid,57.51
I,Bos.Bison,57.56
I,Cervid,57.57
I,Cervid,57.58
I,Bos.Bison,57.66
I,Cervid,57.89
I,Ursid,57.89
I,Bos.Bison,58.11
I,Bos.Bison,58.12
K,Cervid,58.18
I,Cervid,58.47
I,Cervid,58.54
I,Cervid,58.55
I,Cervid,58.57
I,Cervid,58.7
I,Bos.Bison,58.74
J,Ursid,58.74
I,Bos.Bison,58.77
I,Bos.Bison,58.78
I,Bos.Bison,58.83
I,Cervid,58.85
I,Cervid,59.03
I,Bos.Bison,59.06
I,Cervid,59.1
I,Cervid,59.18
I,Ursid,59.3
I,Cervid,59.39
I,Ursid,59.42
I,Cervid,59.59
I,Cervid,59.69
I,Bos.Bison,59.84
I,Cervid,59.85
I,Bos.Bison,59.96
I,Bos.Bison,60.16
I,Cervid,60.18
I,Cervid,60.21
I,Ursid,60.34
I,Cervid,60.58
K,Bos.Bison,60.58
I,Bos.Bison,61.13
I,Ursid,61.14
I,Bos.Bison,61.35
I,Bos.Bison,61.36
I,Ursid,61.44
I,Bos.Bison,61.55
I,Cervid,61.6
I,Cervid,61.7
I,Cervid,61.72
I,Cervid,61.76
I,Bos.Bison,61.95
I,Bos.Bison,61.96
I,Cervid,62.09
I,Ursid,62.38
I,Ursid,62.4
I,Bos.Bison,62.42
