Layer,NSP,%cm, %scrape,%marrow
I,5631,7.973716924169774,1.9712306872669154,3.8891848694725626
J,776,2.8350515463917527,1.0309278350515463,3.608247422680412
K,606,1.9801980198019802,1.155115511551155,5.115511551155116
