lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
I/J,Bos_Bison_sp.,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I/J,Bos_Bison_sp.,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
I/J,Cervid_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I/J,Cervid_sp.,Femur,zone2,0,FE2,0.3,0.42,0.35,0.34,0.16
I/J,Cervid_sp.,Femur,zone3,0,FE3,0.36,0.5,0.35,0.34,0.2
I/J,Cervid_sp.,Femur,zone4,0,FE4,0.59,0.65,0.57,0.45,0.36
I/J,Cervid_sp.,Femur,zone5,1,FE5,0.46,0.49,0.4,0.36,0.24
I/J,Cervid_sp.,Femur,zone6,0,FE6,0.3,0.38,0.32,0.26,0.22
I,Capra_sp.,Radio-ulna,zone1,0,UL1,0.43,0.46,0.49,0.34,0.18
I,Capra_sp.,Radio-ulna,zone2,0,UL2,0.65,0.73,0.68,0.69,0.26
I,Capra_sp.,Radio-ulna,zone3,0,RA1,0.37,0.51,0.53,0.48,0.35
I,Capra_sp.,Radio-ulna,zone4,0,RA2,0.51,0.62,0.57,0.56,0.36
I,Capra_sp.,Radio-ulna,zone5,0,RA3,0.84,0.8,0.73,0.62,0.52
I,Capra_sp.,Radio-ulna,zone6,1,RA4,0.43,0.49,0.38,0.42,0.19
I,Capra_sp.,Radio-ulna,zone7,0,RA5,0.42,0.47,0.49,0.35,0.21
I,Equid_sp.,Metacarpal,zone1,0,MC1,0.55,0.58,0.63,0.59,0.4
I,Equid_sp.,Metacarpal,zone2,0,MC2,0.66,0.72,0.69,0.63,0.55
I,Equid_sp.,Metacarpal,zone3,0,MC3,0.84,0.86,0.79,0.69,0.67
I,Equid_sp.,Metacarpal,zone4,0,MC4,0.67,0.62,0.59,0.6,0.54
I,Equid_sp.,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
I,Equid_sp.,Metacarpal,zone6,1,MC6,0.6,0.62,0.68,0.53,0.5
I,Equid_sp.,Metatarsal,zone1,0,MR1,0.59,0.63,0.58,0.52,0.43
I,Equid_sp.,Metatarsal,zone2,0,MR2,0.75,0.71,0.57,0.59,0.53
I,Equid_sp.,Metatarsal,zone3,0,MR3,0.91,0.84,0.65,0.67,0.68
I,Equid_sp.,Metatarsal,zone4,0,MR4,0.71,0.65,0.54,0.51,0.51
I,Equid_sp.,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
I,Equid_sp.,Metatarsal,zone6,1,MR6,0.6,0.65,0.59,0.48,0.39
I,Bos_Bison_sp.,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
I,Capra_sp.,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
I,Cervus_elaphus,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
I,Equid_sp.,Acetabulum,zone7,1,AC1,0.65,0.64,0.64,0.53,0.26
