lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
I,Cervid_sp.,Astragalus,zone2,1,AS2,0.64,0.77,0.7,0.62,0.63
I,Cervid_sp.,Femur,zone1,0,FE1,0.35,0.41,0.39,0.31,0.28
I,Cervid_sp.,Femur,zone2,2,FE2,0.3,0.42,0.35,0.34,0.16
I,Cervid_sp.,Femur,zone3,5,FE3,0.36,0.5,0.35,0.34,0.2
I,Cervid_sp.,Femur,zone4,1,FE4,0.59,0.65,0.57,0.45,0.36
I,Cervid_sp.,Femur,zone5,2,FE5,0.46,0.49,0.4,0.36,0.24
I,Cervid_sp.,Femur,zone6,1,FE6,0.3,0.38,0.32,0.26,0.22
I,Cervid_sp.,Humerus,zone1,0,HU1,0.23,0.32,0.26,0.24,0.13
I,Cervid_sp.,Humerus,zone2,4,HU2,0.25,0.42,0.31,0.25,0.22
I,Cervid_sp.,Humerus,zone3,4,HU3,0.64,0.7,0.61,0.45,0.42
I,Cervid_sp.,Humerus,zone4,2,HU4,0.55,0.61,0.62,0.48,0.37
I,Cervid_sp.,Humerus,zone5,3,HU5,0.36,0.51,0.48,0.37,0.34
I,Cervid_sp.,Metacarpal,zone1,0,MC1,0.55,0.58,0.63,0.59,0.4
