Layer,NSP,nCarnivore,%carn,nHuman,%hum
I,5631,76,1.3496714615521221,709,12.591014029479666
I/J,301,6,1.9933554817275747,57,18.93687707641196
J,776,61,7.860824742268041,61,7.860824742268041
J/K,117,20,17.094017094017094,9,7.6923076923076925
K,606,69,11.386138613861387,45,7.425742574257425
