lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
I,Cervid_sp.,Femur,17,10,3,5,83.33333333333334
I,Cervid_sp.,Humerus,19,8,3,4,66.66666666666666
I,Cervid_sp.,Ilium,3,2,1,1,16.666666666666664
I,Cervid_sp.,Ischium,1,1,1,0.5,8.333333333333332
I,Cervid_sp.,Lunate,1,1,1,0.5,8.333333333333332
I,Cervid_sp.,Metacarpal,8,5,2,2.5,41.66666666666667
I,Cervid_sp.,Metapodial,5,2,1,NA,NA
I,Cervid_sp.,Metatarsal,9,5,3,2.5,41.66666666666667
I,Cervid_sp.,Phalanx_1,1,1,1,0.125,2.083333333333333
I,Cervid_sp.,Phalanx_2,1,1,1,0.125,2.083333333333333
I,Cervid_sp.,Phalanx_3,3,6,1,0.75,12.5
I,Cervid_sp.,Radio-ulna,2,2,1,1,16.666666666666664
I,Cervid_sp.,Radius,15,6,3,3,50
I,Cervid_sp.,Rib,9,3,2,0.115384615384615,1.9230769230769167
I,Cervid_sp.,Scapula,3,3,3,1.5,25
I,Cervid_sp.,Sesamoid,4,3,2,NA,NA
I,Cervid_sp.,Tibia,23,12,4,6,100
I,Cervid_sp.,Ulna,7,3,2,1.5,25
I,Cervid_sp.,Vert_Cervical,3,2,2,0.285714285714286,4.761904761904766
I,Cervid_sp.,Vert_Thoracic,1,1,1,0.0769230769230769,1.2820512820512817
I,Cervus_elaphus,Acetabulum,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Astragalus,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Axis,1,1,1,1,22.22222222222222
I,Cervus_elaphus,Calcaneum,2,2,2,1,22.22222222222222
I,Cervus_elaphus,Cranium,1,1,1,1,22.22222222222222
I,Cervus_elaphus,Cuneiform,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Femur,19,9,5,4.5,100
I,Cervus_elaphus,Humerus,11,5,3,2.5,55.55555555555556
I,Cervus_elaphus,Metacarpal,12,6,2,3,66.66666666666666
I,Cervus_elaphus,Metatarsal,12,6,2,3,66.66666666666666
I,Cervus_elaphus,Phalanx_1,1,1,1,0.125,2.7777777777777777
I,Cervus_elaphus,Phalanx_3,2,2,1,0.25,5.555555555555555
I,Cervus_elaphus,Pisiform,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Radio-ulna,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Radius,14,5,3,2.5,55.55555555555556
I,Cervus_elaphus,Rib,4,4,3,0.153846153846154,3.4188034188034218
I,Cervus_elaphus,Scaphoid,1,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Scapula,2,1,1,0.5,11.11111111111111
I,Cervus_elaphus,Tibia,28,7,4,3.5,77.77777777777779
I,Cervus_elaphus,Ulna,4,2,1,1,22.22222222222222
I,Cervus_elaphus,Vert_Cervical,3,2,2,0.285714285714286,6.349206349206354
I,Cervus_elaphus,Vert_Thoracic,2,2,2,0.153846153846154,3.4188034188034218
I,Crocuta_spelaea,Cranium,1,1,1,1,100
I,Crocuta_spelaea,Humerus,2,2,1,1,100
I,Crocuta_spelaea,Ilium,1,1,1,0.5,50
I,Crocuta_spelaea,Metacarpal_III,1,1,1,0.5,50
I,Crocuta_spelaea,Metacarpal_V,1,1,1,0.5,50
I,Crocuta_spelaea,Phalanx_2/1,2,3,1,0.15,15
I,Crocuta_spelaea,Radius,1,1,1,0.5,50
I,Crocuta_spelaea,Tibia,1,1,1,0.5,50
I,Dama_dama,Scaphoid,1,1,1,0.5,100
I,Dama_dama,Ulna,1,1,1,0.5,100
I,Equid_sp.,Acetabulum,1,1,1,0.5,16.666666666666664
I,Equid_sp.,Femur,3,5,1,2.5,83.33333333333334
I,Equid_sp.,Humerus,2,1,1,0.5,16.666666666666664
I,Equid_sp.,Innominate,1,1,1,0.5,16.666666666666664
I,Equid_sp.,Metacarpal,1,2,1,1,33.33333333333333
I,Equid_sp.,Metapodial,1,1,1,NA,NA
I,Equid_sp.,Metatarsal,1,1,1,0.5,16.666666666666664
I,Equid_sp.,Phalanx_3,2,1,1,0.25,8.333333333333332
I,Equid_sp.,Radius,6,4,3,2,66.66666666666666
I,Equid_sp.,Rib,3,1,1,0.0277777777777778,0.9259259259259267
I,Equid_sp.,Tibia,14,6,4,3,100
I,Equid_sp.,Ulna,4,5,2,2.5,83.33333333333334
I,Equid_sp.,Vert_Thoracic,1,1,1,0.0555555555555556,1.8518518518518534
I,Equus_ferus,Atlas,1,1,1,1,66.66666666666666
I,Equus_ferus,Metacarpal,1,1,1,0.5,33.33333333333333
I,Equus_ferus,Naviculo_Cuboid,1,1,1,0.5,33.33333333333333
I,Equus_ferus,Phalanx_2,1,1,1,0.25,16.666666666666664
I,Equus_ferus,Radius,3,3,2,1.5,100
I,Equus_ferus,Tibia,1,1,1,0.5,33.33333333333333
I,Equus_ferus,Ulna,2,1,1,0.5,33.33333333333333
I,Equus_ferus,Vert_Lumbar,1,1,1,0.166666666666667,11.111111111111132
I,Equus_hydruntinus,Astragalus,1,1,1,0.5,100
I,Equus_hydruntinus,Humerus,1,1,1,0.5,100
I,Equus_hydruntinus,Metacarpal,1,1,1,0.5,100
I,fish_unknown,Vert_Indeterminate,1,1,1,NA,NA
I,Megaloceros_giganteus,Calcaneum,1,1,1,0.5,20
I,Megaloceros_giganteus,Femur,7,5,2,2.5,100
I,Megaloceros_giganteus,Humerus,6,3,2,1.5,60
I,Megaloceros_giganteus,Radius,2,2,2,1,40
I,Megaloceros_giganteus,Tibia,3,2,1,1,40
I,Megaloceros_giganteus,Ulna,2,2,1,1,40
I,Panthera_leo_spelaeus,Cranium,1,1,1,1,100
I,Panthera_leo_spelaeus,Humerus,1,1,1,0.5,50
I,Panthera_leo_spelaeus,Metatarsal_V,1,1,1,0.5,50
I,Panthera_leo_spelaeus,Radius,2,2,1,1,100
I,Panthera_pardus,Radius,1,1,1,0.5,100
I,Rhino_sp.,Carpal_Tarsal_Indet,1,1,1,NA,NA
I,Rhino_sp.,Patella,1,1,1,0.5,100
I,Rupicapra_rupicapra,Radius,1,1,1,0.5,100
