lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
I,Ursus_spelaeus,Mandible_I2,4,4,4,2,57.14285714285714
I,Ursus_spelaeus,Mandible_I3,7,7,5,3.5,100
I,Ursus_spelaeus,Mandible_M1,2,2,1,1,28.57142857142857
I,Ursus_spelaeus,Mandible_M2,2,2,1,1,28.57142857142857
I,Ursus_spelaeus,Mandible_M3,2,2,2,1,28.57142857142857
I,Ursus_spelaeus,Mandible_P4,3,3,2,1.5,42.857142857142854
I,Ursus_spelaeus,Maxilla_I2,6,6,3,3,85.71428571428571
I,Ursus_spelaeus,Maxilla_I3,3,3,3,1.5,42.857142857142854
I,Ursus_spelaeus,Maxilla_M2,4,4,2,2,57.14285714285714
I,Ursus_spelaeus,Maxilla_P4,3,3,2,1.5,42.857142857142854
I,Vulpes_vulpes,Mandible_M1,1,1,1,0.5,100
I,Vulpes_vulpes,Mandible_P2,1,1,1,0.5,100
I/J,Bison_priscus,Mandible_M3,1,1,1,0.5,100
I/J,Crocuta_spelaea,Mandible_M1,1,1,1,0.5,100
I/J,Equid_sp.,Mandible_M3,1,1,1,0.5,100
I/J,Megaloceros_giganteus,Maxilla_P2,1,1,1,0.5,100
I/J,Ursus_spelaeus,Mandible_I1,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Mandible_I2,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Mandible_I3,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Mandible_M1,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Mandible_M2,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Mandible_M3,3,3,2,1.5,100
I/J,Ursus_spelaeus,Maxilla_C,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Maxilla_I2,2,2,1,1,66.66666666666666
I/J,Ursus_spelaeus,Maxilla_I3,1,1,1,0.5,33.33333333333333
I/J,Ursus_spelaeus,Maxilla_M1,1,1,1,0.5,33.33333333333333
J,Bison_priscus,Mandible_M2,1,1,1,0.5,100
J,Bison_priscus,Mandible_P2,1,1,1,0.5,100
J,Bison_priscus,Maxilla_P2,1,1,1,0.5,100
J,Bos_Bison_sp.,Maxilla_P3,1,1,1,0.5,50
J,Bos_primigenius,Mandible_P4,1,1,1,0.5,100
J,Bos_primigenius,Maxilla_M2,1,1,1,0.5,100
J,Capra_ibex,Maxilla_M1,1,1,1,0.5,100
J,Capra_ibex,Maxilla_M2,1,1,1,0.5,100
J,Cervid_sp.,Mandible_dp2,1,1,1,0.5,50
J,Cervid_sp.,Mandible_dp3,1,1,1,0.5,50
J,Crocuta_spelaea,Mandible_I3,1,1,1,0.5,50
J,Crocuta_spelaea,Maxilla_P2,1,1,1,0.5,50
J,Equus_ferus,Mandible_I3,1,1,1,0.5,100
J,Equus_ferus,Maxilla_P2,1,1,1,0.5,100
J,Equus_hydruntinus,Maxilla_M1,1,1,1,0.5,100
J,Panthera_pardus,Mandible_C,1,1,1,0.5,100
J,Ursus_arctos,Mandible_M1,1,1,1,0.5,100
J,Ursus_arctos,Mandible_P4,1,1,1,0.5,100
J,Ursus_sp.,Maxilla_dp4,1,1,1,0.5,50
J,Ursus_spelaeus,Mandible_C,1,1,1,0.5,7.142857142857142
J,Ursus_spelaeus,Mandible_I2,4,4,4,2,28.57142857142857
J,Ursus_spelaeus,Mandible_I3,14,14,8,7,100
J,Ursus_spelaeus,Mandible_M1,5,5,3,2.5,35.714285714285715
J,Ursus_spelaeus,Mandible_M2,6,6,4,3,42.857142857142854
J,Ursus_spelaeus,Mandible_M3,11,11,7,5.5,78.57142857142857
J,Ursus_spelaeus,Mandible_P4,10,10,5,5,71.42857142857143
J,Ursus_spelaeus,Maxilla_I1,2,2,1,1,14.285714285714285
J,Ursus_spelaeus,Maxilla_I2,2,2,1,1,14.285714285714285
J,Ursus_spelaeus,Maxilla_I3,3,3,2,1.5,21.428571428571427
J,Ursus_spelaeus,Maxilla_M1,2,2,1,1,14.285714285714285
J,Ursus_spelaeus,Maxilla_M2,4,4,3,2,28.57142857142857
J,Ursus_spelaeus,Maxilla_P4,4,4,3,2,28.57142857142857
J,Vulpes_vulpes,Mandible_M1,1,1,1,0.5,100
J,Vulpes_vulpes,Mandible_P2,1,1,1,0.5,100
J/K,Bos_Bison_sp.,Mandible_I2,1,1,1,0.5,100
J/K,Canis_lupus,Mandible_I3,1,1,1,0.5,100
J/K,Capra_ibex,Mandible_M3,1,1,1,0.5,100
J/K,Capra_ibex,Maxilla_M2,1,1,1,0.5,100
J/K,Cervid_sp.,Mandible_dp3,1,1,1,0.5,50
J/K,Cervus_elaphus,Maxilla_P2,1,1,1,0.5,100
J/K,Crocuta_spelaea,Mandible_M1,1,1,1,0.5,100
J/K,Equus_ferus,Mandible_P3,1,1,1,0.5,100
J/K,Hyaena_sp.,Mandible_I2,1,1,1,0.5,100
J/K,Ursus_spelaeus,Mandible_I1,2,2,2,1,100
J/K,Ursus_spelaeus,Mandible_M3,1,1,1,0.5,50
J/K,Ursus_spelaeus,Maxilla_I2,1,1,1,0.5,50
J/K,Ursus_spelaeus,Maxilla_I3,1,1,1,0.5,50
J/K,Ursus_spelaeus,Maxilla_M2,1,1,1,0.5,50
K,Bison_priscus,Mandible_P2,1,1,1,0.5,50
K,Bison_priscus,Mandible_P4,2,2,1,1,100
K,Bison_priscus,Maxilla_M2,1,1,1,0.5,50
K,Bison_priscus,Maxilla_P3,1,1,1,0.5,50
K,Bos_Bison_sp.,Mandible_P2,1,1,1,0.5,33.33333333333333
K,Bos_Bison_sp.,Maxilla_M2,1,1,1,0.5,33.33333333333333
K,Bos_primigenius,Maxilla_M2,1,1,1,0.5,100
K,Bos_primigenius,Maxilla_P4,1,1,1,0.5,100
K,Canis_lupus,Mandible_I2,1,1,1,0.5,100
K,Canis_lupus,Maxilla_I1,1,1,1,0.5,100
K,Canis_lupus,Maxilla_P4,1,1,1,0.5,100
K,Capra_ibex,Mandible_M1,1,1,1,0.5,33.33333333333333
K,Capra_ibex,Mandible_M2,1,1,1,0.5,33.33333333333333
K,Capra_ibex,Mandible_M3,2,2,1,1,66.66666666666666
K,Capra_ibex,Maxilla_M1,1,1,1,0.5,33.33333333333333
K,Capra_ibex,Maxilla_M2,1,1,1,0.5,33.33333333333333
K,Capra_ibex,Maxilla_P3,1,1,1,0.5,33.33333333333333
K,Capra_sp.,Maxilla_M1,1,1,1,0.5,100
K,Capra_sp.,Maxilla_P2,1,1,1,0.5,100
K,Equus_ferus,Mandible_P2,1,1,1,0.5,100
K,Equus_ferus,Maxilla_M1,1,1,1,0.5,100
K,Equus_ferus,Maxilla_M3,1,1,1,0.5,100
K,Equus_ferus,Maxilla_P3,1,1,1,0.5,100
K,Equus_hydruntinus,Mandible_M1,1,1,1,0.5,100
K,Equus_hydruntinus,Mandible_P4,1,1,1,0.5,100
K,Equus_hydruntinus,Maxilla_M1,1,1,1,0.5,100
K,Ursus_spelaeus,Mandible_C,1,1,1,0.5,33.33333333333333
K,Ursus_spelaeus,Mandible_I2,3,3,2,1.5,100
K,Ursus_spelaeus,Mandible_M1,2,2,1,1,66.66666666666666
K,Ursus_spelaeus,Mandible_M2,1,1,1,0.5,33.33333333333333
K,Ursus_spelaeus,Mandible_P4,1,1,1,0.5,33.33333333333333
K,Ursus_spelaeus,Maxilla_I2,2,2,2,1,66.66666666666666
K,Ursus_spelaeus,Maxilla_M1,2,2,2,1,66.66666666666666
K,Ursus_spelaeus,Maxilla_M2,1,1,1,0.5,33.33333333333333
