Layer,NSP,%gast, %scratch,%scallop,%tp
I,5631,0.781388740898597,0.10655301012253596,0.21310602024507191,0.49724738057183454
J,776,7.087628865979381,0.25773195876288657,0.6443298969072164,0.7731958762886598
K,606,11.056105610561056,NA,0.6600660066006601,0.49504950495049505
