Layer,NSP,scrape,%scrape,cut,%cm,marrow,%marrow
I,5631,111,1.9712306872669154,449,7.973716924169774,219,3.8891848694725626
I/J,301,13,4.318936877076411,38,12.624584717607974,8,2.6578073089700998
J,776,8,1.0309278350515463,22,2.8350515463917527,28,3.608247422680412
J/K,117,2,1.7094017094017095,2,1.7094017094017095,5,4.273504273504273
K,606,7,1.155115511551155,12,1.9801980198019802,31,5.115511551155116
