Layer,NSP,0,pc_0,<50,pc_<50,>50,pc_>50,100,pc_100
I,5628,4580,81.37882018479033,814,14.463397299218194,220,3.9090262970859984,14,0.24875621890547264
I/J,301,247,82.05980066445183,44,14.61794019933555,10,3.322259136212625,0,0
J,776,610,78.6082474226804,125,16.108247422680414,40,5.154639175257731,1,0.12886597938144329
J/K,117,98,83.76068376068376,16,13.675213675213676,3,2.564102564102564,0,0
K,606,513,84.65346534653465,72,11.881188118811881,20,3.3003300330033,1,0.16501650165016502
