Layer,NSP,0,pc_0,<50,pc_<50,>50,pc_>50,100,pc_100
I,5631,14,0.24862369028591727,550,9.767359261232462,2284,40.561179186645354,2758,48.9788669863257
I/J,301,0,0,24,7.973421926910299,102,33.88704318936877,173,57.475083056478404
J,776,4,0.5154639175257731,74,9.536082474226804,227,29.25257731958763,470,60.567010309278345
J/K,117,1,0.8547008547008548,12,10.256410256410255,35,29.914529914529915,69,58.97435897435898
K,606,3,0.49504950495049505,48,7.920792079207921,139,22.937293729372936,414,68.31683168316832
