Layer,NSP,gast,%gast,tooth.pit,%tp,scratch,%scratch,scallop,%scallop
I,5631,44,0.781388740898597,28,0.49724738057183454,6,0.10655301012253596,12,0.21310602024507191
I/J,301,4,1.3289036544850499,1,0.33222591362126247,NA,0,3,0.9966777408637874
J,776,55,7.087628865979381,6,0.7731958762886598,2,0.25773195876288657,5,0.6443298969072164
J/K,117,20,17.094017094017094,NA,0,NA,0,1,0.8547008547008548
K,606,67,11.056105610561056,3,0.49504950495049505,NA,0,4,0.6600660066006601
